img,output 0,output 1,timestamp
.gradio\flagged\img\e55dae326a4ad15a75b8\amer_sign3.png,"{""label"": ""15"", ""confidences"": null}",.gradio\flagged\output 1\8a0c58c28b8c372c1328\image.webp,2026-02-10 21:36:50.823303
.gradio\flagged\img\e23a10ef009a4aec09dd\amer_sign3.png,"{""label"": ""15"", ""confidences"": null}",.gradio\flagged\output 1\a3a7652dca6efbcaf330\image.webp,2026-02-10 21:36:52.689334
